DeviceID,Date,Final_Daily_Readings,Daily_Consumption
398-446-958,2024-11-11,921.9,7.7
398-446-958,2024-11-12,933.7,11.8
398-446-958,2024-11-13,946.5,12.8
398-446-958,2024-11-14,957.0,10.5
398-446-958,2024-11-15,964.6,7.6
398-446-958,2024-11-16,973.2,8.6
398-446-958,2024-11-17,987.1,13.9
398-446-958,2024-11-18,994.8,7.7
398-446-958,2024-11-19,1000.8,6.0
398-446-958,2024-11-20,1005.5,4.7
398-446-958,2024-11-21,1016.1,10.6
398-446-958,2024-11-22,1026.3,10.2
398-446-958,2024-11-23,1031.7,5.4
398-446-958,2024-11-24,1037.9,6.2
398-446-958,2024-11-25,1044.1,6.2
398-446-958,2024-11-26,1056.1,12.0
398-446-958,2024-11-27,1072.4,16.3
398-446-958,2024-11-28,1076.8,4.4
398-446-958,2024-11-29,1090.4,13.6
398-446-958,2024-11-30,1102.9,12.5
398-446-958,2024-12-01,1119.4,16.5
398-446-958,2024-12-02,1134.3,14.9
398-446-958,2024-12-03,1139.4,5.1
398-446-958,2024-12-04,1153.7,14.3
398-446-958,2024-12-05,1159.1,5.4
398-446-958,2024-12-06,1164.7,5.6
398-446-958,2024-12-07,1173.2,8.5
398-446-958,2024-12-08,1189.2,16.0
398-446-958,2024-12-09,1202.3,13.1
398-446-958,2024-12-10,1213.7,11.4
398-446-958,2024-12-11,1226.1,12.4
398-446-958,2024-12-12,1239.6,13.5
398-446-958,2024-12-13,1250.5,10.9
398-446-958,2024-12-14,1266.3,15.8
398-446-958,2024-12-15,1272.0,5.7
398-446-958,2024-12-16,1280.3,8.3
398-446-958,2024-12-17,1284.4,4.1
398-446-958,2024-12-18,1292.4,8.0
398-446-958,2024-12-19,1306.4,14.0
398-446-958,2024-12-20,1319.3,12.9
398-446-958,2024-12-21,1331.8,12.5
398-446-958,2024-12-22,1338.2,6.4
398-446-958,2024-12-23,1351.0,12.8
398-446-958,2024-12-24,1359.4,8.4
398-446-958,2024-12-25,1367.1,7.7
398-446-958,2024-12-26,1371.5,4.4
398-446-958,2024-12-27,1381.4,9.9
398-446-958,2024-12-28,1393.4,12.0
398-446-958,2024-12-29,1401.3,7.9
398-446-958,2024-12-30,1406.3,5.0
398-446-958,2024-12-31,1417.8,11.5
398-446-958,2025-01-01,1424.2,6.4
398-446-958,2025-01-02,1437.0,12.8
398-446-958,2025-01-03,1449.1,12.1
398-446-958,2025-01-04,1456.5,7.4
398-446-958,2025-01-05,1467.4,10.9
398-446-958,2025-01-06,1474.3,6.9
398-446-958,2025-01-07,1478.7,4.4
398-446-958,2025-01-08,1486.9,8.2
398-446-958,2025-01-09,1503.3,16.4
398-446-958,2025-01-10,1511.6,8.3
398-446-958,2025-01-11,1517.3,5.7
398-446-958,2025-01-12,1525.8,8.5
398-446-958,2025-01-13,1535.7,9.9
398-446-958,2025-01-14,1545.5,9.8
398-446-958,2025-01-15,1552.1,6.6
398-446-958,2025-01-16,1563.4,11.3
398-446-958,2025-01-17,1572.6,9.2
398-446-958,2025-01-18,1583.1,10.5
398-446-958,2025-01-19,1598.9,15.8
398-446-958,2025-01-20,1603.5,4.6
398-446-958,2025-01-21,1614.0,10.5
398-446-958,2025-01-22,1626.3,12.3
398-446-958,2025-01-23,1635.6,9.3
398-446-958,2025-01-24,1649.8,14.2
398-446-958,2025-01-25,1661.7,11.9
398-446-958,2025-01-26,1677.6,15.9
398-446-958,2025-01-27,1689.2,11.6
398-446-958,2025-01-28,1704.0,14.8
398-446-958,2025-01-29,1712.1,8.1
398-446-958,2025-01-30,1724.5,12.4
398-446-958,2025-01-31,1738.8,14.3
398-446-958,2025-02-01,1752.7,13.9
398-446-958,2025-02-02,1764.9,12.2
398-446-958,2025-02-03,1776.8,11.9
398-446-958,2025-02-04,1785.6,8.8
398-446-958,2025-02-05,1798.4,12.8
398-446-958,2025-02-06,1810.8,12.4
398-446-958,2025-02-07,1826.2,15.4
398-446-958,2025-02-08,1834.4,8.2
398-446-958,2025-02-09,1846.8,12.4
398-446-958,2025-02-10,1856.1,9.3
398-446-958,2025-02-11,1872.7,16.6
398-446-958,2025-02-12,1889.0,16.3
398-446-958,2025-02-13,1893.3,4.3
398-446-958,2025-02-14,1902.1,8.8
398-446-958,2025-02-15,1909.2,7.1
398-446-958,2025-02-16,1916.4,7.2
398-446-958,2025-02-17,1928.7,12.3
398-446-958,2025-02-18,1939.8,11.1
398-446-958,2025-02-19,1953.6,13.8
405-308-311,2024-11-11,366.2,13.3
405-308-311,2024-11-12,381.6,15.4
405-308-311,2024-11-13,397.3,15.7
405-308-311,2024-11-14,411.0,13.7
405-308-311,2024-11-15,423.4,12.4
405-308-311,2024-11-16,435.8,12.4
405-308-311,2024-11-17,450.7,14.9
405-308-311,2024-11-18,459.5,8.8
405-308-311,2024-11-19,473.7,14.2
405-308-311,2024-11-20,486.1,12.4
405-308-311,2024-11-21,500.8,14.7
405-308-311,2024-11-22,510.2,9.4
405-308-311,2024-11-23,520.3,10.1
405-308-311,2024-11-24,530.5,10.2
405-308-311,2024-11-25,545.6,15.1
405-308-311,2024-11-26,555.1,9.5
405-308-311,2024-11-27,562.9,7.8
405-308-311,2024-11-28,575.1,12.2
405-308-311,2024-11-29,587.5,12.4
405-308-311,2024-11-30,603.6,16.1
405-308-311,2024-12-01,618.4,14.8
405-308-311,2024-12-02,622.8,4.4
405-308-311,2024-12-03,629.9,7.1
405-308-311,2024-12-04,640.4,10.5
405-308-311,2024-12-05,649.0,8.6
