DeviceID, Date, Final_Daily_Readings, Daily_Consumption
111-111-111, 2025-01-01, 80.9, 70.8
111-111-111, 2025-01-02, 102.5, 21.6
111-111-111, 2025-01-03, 300.7, 198.2
111-111-111, 2025-01-01, 80.9, 70.8
111-111-111, 2025-01-02, 102.5, 21.6
111-111-111, 2025-01-03, 300.7, 198.2
222-222-222, 2025-02-01, 1012.2, 111.3
222-222-222, 2025-02-02, 1200.4, 188.2
333-333-333, 2025-03-01, 300.4, 200.4
333-333-333, 2025-03-02, 512.9, 212.5
444-444-444, 2025-01-01, 50.1, 38.9
444-444-444, 2025-01-02, 93.5, 43.4
